"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,2302551789075.0,1070617278632.0,212043543708.0,206225288157.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,120198626403.0,271776317720.0,21225332229.0,828386414.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권 및 기타채권,800586732855.0,270868384962.0,63433102219.0,58407045632.0
entity00398701_udf_BS_202233102148814_CurrentAssets,기타유동투자자산,Other current investment assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동투자자산,1248405000.0,50000000.0,5325000.0,83050000.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,1227669369621.0,261549650618.0,105275505294.0,138611898429.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,2317575752.0,213799034040.0,17103074167.0,2394258394.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,공정가치측정금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,공정가치측정금융자산,36749030959.0,35114163934.0,0.0,0.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,113782048485.0,17459727358.0,4536444300.0,5657686375.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,0.0,0.0,464760499.0,242962913.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,721381185689.0,461582149505.0,254173855486.0,209975990567.0
entity00398701_udf_BS_202233102350242_NoncurrentAssets,기타비유동투자자산,Other non-current investment asset,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동투자자산,2666445000.0,3435470000.0,2361260000.0,2009330000.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타비유동채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권 및 기타비유동채권,934352198.0,807598198.0,814598198.0,819720198.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,709585461408.0,427125899595.0,237424710863.0,196500851648.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,7631126716.0,9516622885.0,8860744351.0,8505434781.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,112033886.0,495373606.0,574817583.0,59826324.0
entity00398701_udf_BS_20233612330229_NoncurrentAssets,순확정급여자산,Present value of defined benefit assets,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,451766481.0,0.0,0.0,0.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,0.0,20201185221.0,4137724491.0,2080827616.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,3023932974764.0,1532199428137.0,466217399194.0,416201278724.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,1287536919484.0,398276731074.0,158120232264.0,187498227371.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,630123331682.0,218907560251.0,42754400605.0,36023473631.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,406139885260.0,129615075764.0,13521483324.0,138917762958.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,52082596660.0,33931515547.0,96766586623.0,7923143324.0
dart_CurrentPortionOfConvertibleBonds,유동성전환사채,Current portion of convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성전환사채,869445180.0,0.0,0.0,0.0
