"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,11460980589.0,9666164246.0,4001152689.0,3833147517.0
entity00398701_udf_BS_202336132936700_CurrentLiabilities,유동성파생상품부채,Current Derivatives Liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성파생상품부채,69477577386.0,0.0,0.0,0.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,11067118515.0,1714242816.0,1076609023.0,800699941.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,106315984212.0,4442172450.0,0.0,0.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,451065674803.0,498732341507.0,110491321110.0,96882518791.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,412054664455.0,155960150000.0,90532665547.0,86720948871.0
dart_ConvertibleBonds,전환사채,Convertible bonds,재무상태표 [abstract],부채 [abstract],비유동부채,전환사채,0.0,4190946005.0,4716472612.0,4375790353.0
dart_BondWithWarrant,신주인수권부사채,Bond with warrant,재무상태표 [abstract],부채 [abstract],비유동부채,신주인수권부사채,0.0,12688364508.0,0.0,0.0
dart_ConvertibleRedeemablePreferredStockLiabilities,상환전환우선주부채,Convertible redeemable preferred stock liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,상환전환우선주부채,0.0,16415176016.0,0.0,0.0
dart_PresentValueOfDefinedBenefitObligation,확정급여채무,Present value of defined benefit obligation,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여채무,0.0,3305572295.0,2356946935.0,2247928132.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,32279472087.0,9712937600.0,978246016.0,2884481435.0
dart_NonCurrentDerivativeLiabilities,비유동파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동파생상품부채,0.0,296459195083.0,11906990000.0,653370000.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,6731538261.0,0.0,0.0,
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,1738602594287.0,897009072581.0,268611553374.0,284380746162.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,1279735719867.0,630792230875.0,194441115148.0,129428046000.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,18009158000.0,17405132000.0,14029364500.0,12379364500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,664899156032.0,693920200987.0,160283824074.0,80036228474.0
dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본구성요소,25219071617.0,18056852719.0,2223514906.0,2181659251.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),571608334218.0,-98589954831.0,17904411668.0,34830793775.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,5594660610.0,4398124681.0,3164730672.0,2392486562.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,1285330380477.0,635190355556.0,197605845820.0,131820532562.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,3023932974764.0,1532199428137.0,466217399194.0,416201278724.0
