"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity01160363_udf_BS_20233161431070_NoncurrentLiabilities,장기종업원급여부채,Long-term employee benefit liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기종업원급여부채,1089337527.0,993315852.0,542280403.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,1885951251552.0,829712539065.0,331668500645.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,,1363443637314.0,551699508256.0,443584458304.0
dart_IssuedCapitalOfCommonStock,보통주,Issued capital of common stock,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,보통주,48940909000.0,11459733000.0,10517583000.0
ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,주식발행초과금,877452591737.0,292925416007.0,272650087316.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,기타포괄손익누계액,-7353561026.0,7248109.0,
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,기타자본항목,12160192314.0,23304368387.0,24726776645.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,이익잉여금,432243505289.0,224002742753.0,135690011343.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,124771490109.0,44445704617.0,23733165832.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,1488215127423.0,596145212873.0,467317624136.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,3374166378975.0,1425857751938.0,798986124781.0
