"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),Non-current financial assets measured at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치측정금융자산(비유동),32552923079.0,34910724585.0,11773641107.0,12364578220.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치측정금융자산,1455231985.0,2909699380.0,2965596800.0,3292772852.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,11145264155.0,8808688517.0,6387766611.0,6481582576.0
ifrs-full_InvestmentsInAssociates,관계기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,48302838434.0,42570591708.0,1906330880.0,
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,37763727474.0,38286277286.0,40547332973.0,38782757897.0
entity00258689_udf_BS_20171112103350886_NoncurrentAssets,무형자산,intangible asset,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,41506863178.0,29545607468.0,30828082474.0,29043036790.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,3820326.0,2140349.0,6679101.0,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,1285820452.0,1197676762.0,2581302212.0,1486134588.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,411122310132.0,317418306083.0,223949702666.0,207839679239.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,101383995470.0,58331683486.0,33334303727.0,43149749830.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,31556538448.0,14514656591.0,11049475413.0,9974233606.0
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,3214591918.0,2392309254.0,1462994210.0,1174296672.0
dart_ShortTermAdvancesCustomers,선수금,Short-term advances customers,재무상태표 [abstract],부채 [abstract],유동부채,선수금,25416661186.0,16931443246.0,7365481404.0,14084695495.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,25811243282.0,15814007089.0,9283877109.0,9300166951.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,15384960636.0,8679267306.0,4172475591.0,8616357106.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,5237213426.0,8437233761.0,4368063466.0,2339985312.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,3378038152.0,1767291595.0,3180175973.0,1237938411.0
ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,78243008.0,61913876.0,60757442.0,
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,1178196309.0,4735861713.0,1127130051.0,987555401.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,602735957.0,1872166577.0,,
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,106621208896.0,66768917247.0,37702367193.0,45489735142.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,,300557951078.0,246621849131.0,182671767939.0,158901752320.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본금,17943451500.0,17943451500.0,17943451500.0,17942201500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본잉여금,76955682199.0,76955682199.0,76955682199.0,76901977199.0
dart_OtherCapitalAdjustments,자본조정,Other capital adjustments,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본조정,-9591249638.0,-11900795990.0,-12054078634.0,-12012398634.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,기타포괄손익누계액,-2296310605.0,1347673851.0,-85323292.0,561980151.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,이익잉여금,217546377622.0,162275837571.0,99912036166.0,75507992104.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,3943150158.0,4027539705.0,3575567534.0,3448191777.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,304501101236.0,250649388836.0,186247335473.0,162349944097.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,411122310132.0,317418306083.0,223949702666.0,207839679239.0
