"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00258801_udf_BS_2020512145356377_udf_BS_202051214032895_AssetsAbstract,예치금,Deposits,재무상태표 [abstract],자산 [abstract],금융업자산,예치금,66511111660.0,247755308841.0,19829317800.0,0.0
entity00258801_udf_BS_2020512145358158_udf_BS_202051214032895_AssetsAbstract,당기손익-공정가치측정 금융자산,"financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],금융업자산,당기손익-공정가치측정 금융자산,496616044772.0,495952344594.0,386624514904.0,0.0
entity00258801_udf_BS_20228101896688_udf_BS_202051214032895_AssetsAbstract,상각후원가측정금융자산,Financial Assets measured at amortized cost,재무상태표 [abstract],자산 [abstract],금융업자산,상각후원가측정금융자산,16175374775.0,0.0,0.0,7371532411.0
entity00258801_udf_BS_202051214545214_udf_BS_202051214032895_AssetsAbstract,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],금융업자산,유형자산,15037428692.0,11782314064.0,5849723753.0,0.0
entity00258801_udf_BS_202051214546274_udf_BS_202051214032895_AssetsAbstract,무형자산,"Other intangible assets, gross",재무상태표 [abstract],자산 [abstract],금융업자산,무형자산,70561390508.0,33227872379.0,36033856493.0,0.0
entity00258801_udf_BS_202051214547378_udf_BS_202051214032895_AssetsAbstract,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],금융업자산,사용권자산,3093174865.0,11200343514.0,3533058747.0,0.0
entity00258801_udf_BS_2023315141540720_udf_BS_202051214032895_AssetsAbstract,퇴직연금운용자산,Plan assets,재무상태표 [abstract],자산 [abstract],금융업자산,퇴직연금운용자산,289256784.0,0.0,0.0,0.0
entity00258801_udf_BS_202331514154411_udf_BS_202051214032895_AssetsAbstract,재보험자산,Reinsurance assets,재무상태표 [abstract],자산 [abstract],금융업자산,재보험자산,107537060.0,0.0,0.0,
entity00258801_udf_BS_202051214548652_udf_BS_202051214032895_AssetsAbstract,기타의금융자산,Other Financial assets,재무상태표 [abstract],자산 [abstract],금융업자산,기타의금융자산,15590414453.0,30497804265.0,29164128150.0,0.0
entity00258801_udf_BS_2020512145410582_udf_BS_202051214032895_AssetsAbstract,기타자산,Other assets,재무상태표 [abstract],자산 [abstract],금융업자산,기타자산,17180926676.0,40766654434.0,5812479974.0,0.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,22963491575614.0,22779558711233.0,11953970238956.0,8737255755774.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,5148326794720.0,5630274218741.0,2929590461315.0,2433322136077.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무 및 기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무 및 기타채무,1373953551067.0,1230984643556.0,835982771398.0,578566877985.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,1096884450398.0,1258827734921.0,188419590659.0,448595786905.0
entity00258801_udf_BS_20191111172446674_CurrentLiabilities,예수부채,Deposit Debt,재무상태표 [abstract],부채 [abstract],유동부채,예수부채,442303425608.0,384150428290.0,302037612941.0,299564327420.0
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동금융부채,38623035635.0,653737268675.0,33858774387.0,25256211710.0
dart_PaymentsOfIncomeTaxesPayable,미지급법인세,Payments of income taxes payable,재무상태표 [abstract],부채 [abstract],유동부채,미지급법인세,157670275310.0,188901913058.0,112124065938.0,68348251602.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,20574227429.0,11242823127.0,5857641570.0,7080584863.0
dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,9572622105.0,11912103610.0,16918862996.0,18290148017.0
ifrs-full_CurrentLeaseLiabilities,단기리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,단기리스부채,244391384985.0,169530683191.0,78895558805.0,68076543620.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,1764353822183.0,1720986620313.0,1355495582621.0,919543403955.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,3843929114057.0,2885093850468.0,1166097939840.0,563815868409.0
