"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,1381399298786.0,461321818464.0,576223326575.0,559584776483.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,349087471196.0,515246293598.0,384340634677.0,313781745056.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,5450342335.0,6657331759.0,31708383889.0,3822401193.0
ifrs-full_CurrentLeaseLiabilities,리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,리스부채,193376317267.0,105615989665.0,53345709463.0,168937301210.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,2233750556485.0,1841802585465.0,1484474330127.0,1515273206866.0
entity00266961_udf_BS_202321762157444_CurrentLiabilities,매각예정부채,Liabilities to be sold,재무상태표 [abstract],부채 [abstract],유동부채,매각예정부채,,,4675241280695.0,
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,4968086697836.0,5740311261113.0,847355136226.0,2022482221466.0
dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무및기타채무,69639961691.0,118079924927.0,68448327272.0,42469680072.0
ifrs-full_NoncurrentFinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치 측정 금융부채,"Non-current financial liabilities at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],부채 [abstract],비유동부채,당기손익-공정가치 측정 금융부채,684617869427.0,508994104631.0,7962264800.0,8339734792.0
dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,사채,1704518276546.0,1636827463521.0,,752270184693.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,328034313380.0,1552014025878.0,150678259061.0,50039880125.0
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,577397964363.0,554264628196.0,462094245426.0,473437955422.0
ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,17784624686.0,8918100642.0,9186175870.0,59046834258.0
ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,589253964655.0,205661717226.0,92170749140.0,555287968236.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,985870669008.0,1155139324751.0,56519491022.0,80453751124.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,10969054080.0,411971341.0,295623635.0,1136232744.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,10448720408685.0,9663630407765.0,8759106628557.0,5795601052206.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,,22744095607040.0,23535637694902.0,7367219163302.0,5805227623271.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,16481339500.0,16481339500.0,16481339500.0,16481339500.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본잉여금,1556453389615.0,1490214367768.0,1793273489872.0,1575307844438.0
dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본구성요소,-2474526129371.0,-1051465837344.0,-1059479508530.0,-1498653013809.0
entity00266961_udf_BS_202321762257813_EquityAttributableToOwnersOfParent,매각예정자산 관련 기타포괄손익누계액,Accumulated other comprehensive income related to asses to be sold,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,매각예정자산 관련 기타포괄손익누계액,,,-37870641018.0,
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금,23645687007296.0,23080407824978.0,6654814483478.0,5712091453142.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,706226873411.0,491738654373.0,887912871911.0,698698445309.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,23450322480451.0,24027376349275.0,8255132035213.0,6503926068580.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,33899042889136.0,33691006757040.0,17014238663770.0,12299527120786.0
