"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,8006938827488.0,6461285795016.0,4983633140961.0,3741522650216.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,4285754045541.0,3269446524533.0,1809091871927.0,1434987949747.0
dart_PaymentsOfIncomeTaxesPayable,미지급법인세,Payments of income taxes payable,재무상태표 [abstract],부채 [abstract],유동부채,미지급법인세,229613880891.0,126201165219.0,44391708778.0,72873576031.0
dart_ShortTermAdvancesCustomers,선수금,Short-term advances customers,재무상태표 [abstract],부채 [abstract],유동부채,선수금,230132847224.0,211277273149.0,353726970697.0,60860323805.0
dart_ShortTermIncomeReceivedInAdvance,선수수익,Short-term income received in advance,재무상태표 [abstract],부채 [abstract],유동부채,선수수익,78688354316.0,39131549681.0,17761781525.0,5513614118.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,2851183213651.0,2510216802997.0,2427504179850.0,1766474985603.0
dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,57510091.0,2330249501.0,28783093680.0,
dart_OtherCurrentLiabilities,충당부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,331508975774.0,302682229936.0,302373534504.0,400812200912.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,5033084187511.0,4175207887065.0,3191672237752.0,3450228602652.0
dart_LongTermTradeAndOtherNonCurrentPayables,매입채무및기타채무,Long-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무및기타채무,697531224825.0,265947483830.0,210040906245.0,239328868322.0
dart_LongTermAdvancesCustomers,장기선수금,Long-Term advances Customers,재무상태표 [abstract],부채 [abstract],비유동부채,장기선수금,50623504840.0,35429209729.0,1344199495.0,5259529488.0
dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,2297040000000.0,2107760803273.0,1484319604943.0,1801994890105.0
dart_PostemploymentBenefitObligations,종업원급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,종업원급여부채,2005409849.0,9358262362.0,38705231267.0,61489160231.0
dart_NonCurrentDerivativeLiabilities,파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,82319778.0,10016686557.0,,2420075456.0
dart_OtherNonCurrentLiabilities,충당부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,91878306036.0,93311709876.0,79823289635.0,99138643473.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,1893923422183.0,1653383731438.0,1377439006167.0,1240597435577.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,13040023014999.0,10636493682081.0,8175305378713.0,7191751252868.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,16485723513578.0,14704264131372.0,12977616019092.0,12324936720467.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,356712130000.0,356712130000.0,356712130000.0,356712130000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,5001974693202.0,5001974693202.0,5001974693202.0,5001974693202.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본항목,-345131583767.0,-345131583767.0,-345131583767.0,-345131583767.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,1003816893169.0,1174235557799.0,545959019790.0,404513003532.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금,10468351380974.0,8516473334138.0,7418101759867.0,6906868477500.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,731778642550.0,492435183483.0,381310869024.0,335408474669.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,17217502156128.0,15196699314855.0,13358926888116.0,12660345195136.0
ifrs-full_EquityAndLiabilities,부채 및 자본총계,Total equity and liabilities,재무상태표 [abstract],부채 및 자본총계,,,30257525171127.0,25833192996936.0,21534232266829.0,19852096448004.0
