"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,9651702375329.0,7444907068203.0,5657405165394.0,5181414896890.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,2614271849898.0,2325692348376.0,1545974321801.0,1156295420684.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,2933814798893.0,2195425598789.0,1870381153317.0,2015345598328.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,3204515834716.0,2487316318701.0,1810785260639.0,1707920528827.0
entity00126362_udf_BS_201872675842197_CurrentAssets,기타투자자산,Other Investments,재무상태표 [abstract],자산 [abstract],유동자산,기타투자자산,534662104634.0,164541358730.0,167037269633.0,135761635931.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,335800401510.0,258708109360.0,256395938005.0,154545416286.0
dart_CurrentDerivativeAsset,파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산,28637385678.0,13223334247.0,6831221999.0,11546296834.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20605822795798.0,18388285928733.0,15876827101435.0,14670681551114.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권및기타채권,6879322583.0,13538047881.0,25279489150.0,27812097927.0
ifrs-full_InvestmentsInAssociates,관계기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,8940282254638.0,7885424300376.0,7143396948925.0,6763177128524.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,8965469798907.0,7635995590121.0,6128099170818.0,5426843174367.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,814931162728.0,798911068282.0,793573297061.0,831370661521.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,147558866183.0,150410177327.0,150502139591.0,153656745607.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,168913513518.0,140864868927.0,96846429192.0,85799169237.0
entity00126362_udf_BS_20187268331818_NoncurrentAssets,기타투자자산,Other Investments,재무상태표 [abstract],자산 [abstract],비유동자산,기타투자자산,1245883336770.0,1572410115693.0,1358684147489.0,1262913960187.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,137715011245.0,105884740957.0,106629882558.0,113253135231.0
dart_NonCurrentDerivativeAssets,파생상품자산,Non-current derivative assets,재무상태표 [abstract],자산 [abstract],비유동자산,파생상품자산,6070437854.0,84847019169.0,73815596651.0,5855478513.0
dart_InvestedAssetForPostemploymentBenefit,종업원급여자산,Invested asset for postemployment benefit,재무상태표 [abstract],자산 [abstract],비유동자산,종업원급여자산,172119091372.0,,,
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,30257525171127.0,25833192996936.0,21534232266829.0,19852096448004.0
