"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타금융부채,214819155287.0,152038758657.0,72423776861.0,51868083244.0
dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,1731359459.0,1411659204.0,32060418466.0,
dart_OtherCurrentLiabilities,기타부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타부채,11812569098.0,7477710292.0,7099911987.0,3523890343.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,79949881317.0,150841665723.0,9626602841.0,513078211.0
ifrs-full_CurrentLeaseLiabilities,리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,리스부채,1374238585.0,1058922378.0,942721896.0,1523163999.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,741336930529.0,736177922357.0,308533150345.0,220218824880.0
entity00536541_udf_BS_2020330111515541_NoncurrentLiabilities,차입금,non-current loan,재무상태표 [abstract],부채 [abstract],비유동부채,차입금,557378236950.0,509028193786.0,252682181578.0,202139691437.0
ifrs-full_OtherNoncurrentFinancialLiabilities,기타금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타금융부채,17704692137.0,10726161683.0,3779208163.0,1260830450.0
entity00536541_udf_BS_2021516125258882_NoncurrentLiabilities,파생상품부채,Derivative financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,,52944382440.0,23845642963.0,458212329.0
dart_OtherNonCurrentLiabilities,기타부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타부채,582539912.0,773762805.0,158248373.0,3523890343.0
ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,2292820482.0,1108507977.0,1021437836.0,999268555.0
dart_PostemploymentBenefitObligations,퇴직급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,퇴직급여부채,29755628185.0,33120541765.0,22326747511.0,15360822109.0
ifrs-full_NoncurrentProvisionsForEmployeeBenefits,장기종업원급여부채,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,장기종업원급여부채,1980450060.0,1781004990.0,1046130417.0,
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,131642562803.0,126695366911.0,3673553504.0,
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,2824001949335.0,1703531144978.0,694450751691.0,480853915260.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,,1307784427091.0,1143963293236.0,326606407817.0,275224628903.0
entity00536541_udf_BS_2021516125928190_EquityAbstract,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],자본금,,12628762500.0,11987836000.0,11045095500.0,11045095500.0
entity00536541_udf_BS_2021516125953127_EquityAbstract,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],주식발행초과금,,758523033070.0,694781518489.0,53318209506.0,53229011772.0
entity00536541_udf_BS_202151613033419_EquityAbstract,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],기타포괄손익누계액,,-2619680752.0,11026200152.0,5797398355.0,-14376585.0
entity00536541_udf_BS_202151613020626_EquityAbstract,기타자본항목,Other capital,재무상태표 [abstract],자본 [abstract],기타자본항목,,114392918820.0,61754405937.0,121989313766.0,92496878976.0
entity00536541_udf_BS_20215161305323_EquityAbstract,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],이익잉여금,,424859393453.0,364413332658.0,134456390690.0,118468019240.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,1213996226618.0,552950535190.0,262107685231.0,171756341260.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,2521780653709.0,1696913828426.0,588714093048.0,446980970163.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,5345782603044.0,3400444973404.0,1283164844739.0,927834885423.0
