"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,3162551112304.0,1619673745793.0,515238214157.0,367691665784.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,356369658059.0,291816009381.0,136464984002.0,34641926232.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,35000000000.0,20750000000.0,21000000000.0,120000000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치 측정 금융자산,"Current financial assets at fair value through profit or loss, mandatorily measured at fair value",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치 측정 금융자산,,2699991381.0,590000000.0,
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,952161151888.0,285512989887.0,98996200036.0,64676183873.0
ifrs-full_CurrentContractAssets,계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,계약자산,58165342367.0,,,20302277314.0
ifrs-full_OtherCurrentFinancialAssets,기타금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타금융자산,230099717797.0,514445109375.0,8246058281.0,14362649233.0
dart_CurrentDerivativeAsset,파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산,59082313570.0,36609781.0,68600000.0,
dart_OtherCurrentAssets,기타자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타자산,201290875635.0,36980181236.0,22974054431.0,2344013521.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,27137610.0,41197050.0,17423140.0,618210.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,1270354915378.0,467391657702.0,226880894267.0,231243997401.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,2183231490740.0,1780771227611.0,767926630582.0,560143219639.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,37008000.0,225011643.0,117016215.0,478997579.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치 측정 금융자산,"Non-current financial assets at fair value through profit or loss, mandatorily measured at fair value",재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치 측정 금융자산,25847821655.0,4076356757.0,1831460640.0,6496558500.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치 측정 금융자산,3812120204.0,19410914000.0,12715712000.0,
ifrs-full_OtherNoncurrentFinancialAssets,기타금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타금융자산,1871446577.0,2050589865.0,1664837482.0,1237498900.0
dart_NonCurrentDerivativeAssets,파생상품자산,Non-current derivative assets,재무상태표 [abstract],자산 [abstract],비유동자산,파생상품자산,,1776682469.0,,4704786552.0
ifrs-full_PropertyPlantAndEquipment,유형자산,tangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,1629476942518.0,1086269199766.0,685289614916.0,507213901610.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,4123393857.0,2312854470.0,2024179763.0,2612187208.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,420544601690.0,622296537873.0,17048408775.0,16618929250.0
ifrs-full_InvestmentsInAssociates,관계기업 및 공동기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업 및 공동기업투자,43034054029.0,1678865636.0,,
dart_OtherNonCurrentAssets,기타자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타자산,2939266038.0,,1001043577.0,492227800.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,51544836172.0,40674215132.0,46234357214.0,13568351253.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,5345782603044.0,3400444973404.0,1283164844739.0,927834885423.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,2082665018806.0,967353222621.0,385917601346.0,260635090380.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,705571588557.0,111939128050.0,63397261526.0,30941214945.0
ifrs-full_CurrentContractLiabilities,계약부채,Current contract liabilities,재무상태표 [abstract],부채 [abstract],유동부채,계약부채,2133298953.0,9112128652.0,10886622556.0,5347594580.0
ifrs-full_ShorttermBorrowings,차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,차입금,1065272927550.0,533473249665.0,189480285213.0,166918065058.0
