"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231,20131231,20121231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,6102377000000.0,5846986000000.0,5677567000000.0,5266496000000.0,4921383000000.0,4809336000000.0,4586172000000.0,4298088000000.0,3821656000000.0,3129090000000.0,2883218000000.0
ifrs-full_InvestmentsInAssociates,공동기업 및 관계기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,공동기업 및 관계기업투자,25199437000000.0,22429117000000.0,19925260000000.0,18375290000000.0,17143239000000.0,17252338000000.0,18070121000000.0,16909943000000.0,16157334000000.0,14694995000000.0,13117731000000.0
dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,Invested asset for postemployment benefit,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,837502000000.0,219721000000.0,,,,,,,,,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,3237309000000.0,2224833000000.0,2847454000000.0,2340096000000.0,1846330000000.0,1123902000000.0,1116774000000.0,764733000000.0,649850000000.0,521399000000.0,489080000000.0
entity00164742_udf_BS_201711283749592_NoncurrentAssets,금융업채권,Finance Receivables,재무상태표 [abstract],자산 [abstract],비유동자산,금융업채권,52326478000000.0,45776526000000.0,37069158000000.0,32080426000000.0,28637075000000.0,25631830000000.0,26918009000000.0,24559123000000.0,21496004000000.0,19835016000000.0,18626764000000.0
entity00164742_udf_BS_201711283750736_NoncurrentAssets,운용리스자산,Operating lease assets,재무상태표 [abstract],자산 [abstract],비유동자산,운용리스자산,27681534000000.0,26327996000000.0,20501691000000.0,21068340000000.0,20425766000000.0,20727950000000.0,21317260000000.0,17719606000000.0,13265616000000.0,10564876000000.0,7830088000000.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,1117293000000.0,940826000000.0,836324000000.0,734542000000.0,,,,,,,
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,255742462000000.0,233946415000000.0,209344212000000.0,194512220000000.0,180655752000000.0,178199454000000.0,178835928000000.0,165367946000000.0,147225117000000.0,133421479000000.0,121537814000000.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,74236472000000.0,64236787000000.0,59459528000000.0,53314096000000.0,49438414000000.0,43160709000000.0,43609793000000.0,41213520000000.0,35179673000000.0,31919682000000.0,32835699000000.0
dart_ShortTermTradePayables,매입채무,Trade notes and accounts payable,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,10797065000000.0,9155255000000.0,8793179000000.0,7669424000000.0,7655630000000.0,6483875000000.0,6985942000000.0,7081124000000.0,7041529000000.0,6722740000000.0,6841326000000.0
dart_ShortTermOtherPayables,미지급금,Other payables,재무상태표 [abstract],부채 [abstract],유동부채,미지급금,8277891000000.0,6335645000000.0,6123714000000.0,6060100000000.0,5425460000000.0,5040057000000.0,4946723000000.0,4711494000000.0,4686473000000.0,4687490000000.0,4542007000000.0
ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,11366480000000.0,13087836000000.0,13780670000000.0,12570693000000.0,12249850000000.0,9959654000000.0,8760678000000.0,9384165000000.0,6845920000000.0,5292798000000.0,6781749000000.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term debt and debentures,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,25574131000000.0,20578902000000.0,16104005000000.0,15778558000000.0,14104927000000.0,13098547000000.0,14836967000000.0,10788049000000.0,9679498000000.0,8685254000000.0,7912341000000.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Income tax payable,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,1008506000000.0,751929000000.0,548733000000.0,370100000000.0,150802000000.0,151525000000.0,540909000000.0,1000763000000.0,656201000000.0,605280000000.0,550847000000.0
ifrs-full_CurrentProvisions,충당부채,Provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,8102596000000.0,6664647000000.0,6360770000000.0,3462034000000.0,3291868000000.0,1809978000000.0,1925562000000.0,1710342000000.0,1844780000000.0,1782937000000.0,1768014000000.0
ifrs-full_OtherCurrentFinancialLiabilities,기타금융부채,Other financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타금융부채,99144000000.0,55187000000.0,100328000000.0,9970000000.0,44288000000.0,25652000000.0,138106000000.0,675437000000.0,223303000000.0,144069000000.0,148311000000.0
dart_OtherCurrentLiabilities,기타부채,Other liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타부채,8600241000000.0,7440120000000.0,7292585000000.0,7260829000000.0,5796193000000.0,6591421000000.0,5474906000000.0,5862146000000.0,4201969000000.0,3999114000000.0,4291104000000.0
entity00164742_udf_BS_201911193634475_CurrentLiabilities,리스부채,Current Lease liability,재무상태표 [abstract],부채 [abstract],유동부채,리스부채,405053000000.0,167266000000.0,141478000000.0,132388000000.0,,,,,,,
