"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,6457656567077.0,2823175325351.0,1751347247953.0,1356261664171.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,890819570657.0,47410383773.0,28850120614.0,125100653179.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,2168901000000.0,450000000000.0,300000000000.0,320000000000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치측정금융자산,98505711790.0,850039876800.0,500046402614.0,210040293295.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,732839221107.0,366330684127.0,217932307826.0,187118115434.0
ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,2375818961320.0,1012870791066.0,645960096442.0,452469927424.0
ifrs-full_CurrentContractAssets,계약자산,Current contract assets,재무상태표 [abstract],자산 [abstract],유동자산,계약자산,87316397189.0,63910843988.0,27864867897.0,20812351177.0
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동금융자산,48789472350.0,23984945243.0,23555628697.0,34782011074.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,54666232664.0,8627800354.0,7137823863.0,5938312588.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,10124393691409.0,5146835461512.0,4672853917009.0,4555364847749.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,7335813270.0,189491294.0,174482520.0,7000000.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,"Long-term trade and other non-current receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,매출채권및기타채권,10635001947.0,4428344378.0,28671558645.0,0.0
ifrs-full_InvestmentsInAssociates,관계기업및공동기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업및공동기업투자,30774605702.0,2661309486003.0,2634428493852.0,2652731622024.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,0.0,0.0,20247960657.0,20761092845.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,3416528836940.0,2207063705617.0,1736567289165.0,1702792524097.0
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,5961306684591.0,32171618395.0,23344605855.0,21827515338.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,454923496204.0,20623773334.0,24160224188.0,16118883277.0
dart_InvestedAssetForPostemploymentBenefit,순확정급여자산,Invested asset for postemployment benefit,재무상태표 [abstract],자산 [abstract],비유동자산,순확정급여자산,29646230762.0,3572380111.0,11900143741.0,0.0
ifrs-full_NoncurrentContractAssets,계약자산,Non-current contract assets,재무상태표 [abstract],자산 [abstract],비유동자산,계약자산,177626602866.0,189331100143.0,168891554301.0,130670536317.0
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동금융자산,32091698923.0,26919379491.0,23184192134.0,9498952389.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,3524720204.0,1226182746.0,1283411951.0,956721462.0
