"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00554024_udf_BS_201711111105268_CurrentLiabilities,단기금융부채,Current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,단기금융부채,362338537550.0,401344078613.0,199866276796.0,115576332794.0,16876487293.0,11268938835.0,188774850904.0,15149205506.0,176914915400.0
ifrs-full_OtherCurrentFinancialLiabilities,파생상품부채,Other current financial liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,490016191.0,3446314104.0,1265705290.0,65713923.0,168619555.0,0.0,0.0,,
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무및기타채무,1711027282479.0,1086292794272.0,1218846968638.0,690815680507.0,883114208754.0,803460328752.0,781386441396.0,672524821716.0,363932091541.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,58725081137.0,15655412919.0,17949137029.0,373568538.0,29162603136.0,31661522720.0,35983397692.0,19036849570.0,8530573961.0
entity00554024_udf_BS_202335215044736_CurrentLiabilities,충당부채,Short term provision,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,3256279091.0,0.0,0.0,22675632840.0,,,,,
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,109064863383.0,137474255971.0,219846178651.0,264240973537.0,349813325410.0,146953465534.0,147585144292.0,16626830841.0,187548936258.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,147905100280.0,164713768693.0,148994447079.0,111938797578.0,33955420663.0,177574857726.0,205185990489.0,399540436411.0,1041031791259.0
entity00554024_udf_BS_201959103219325_NoncurrentLiabilities,장기금융부채,non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,장기금융부채,4309209615.0,3535210695.0,3053423719.0,788347595.0,,,,154563044008.0,144603653809.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,82154257235.0,99747872886.0,104449356049.0,111146612360.0,33722933307.0,177414082748.0,172355283151.0,101505987190.0,111306550788.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,61441633430.0,61430685112.0,41491667311.0,3837623.0,232487356.0,160774978.0,108103.0,122243.0,139313.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,2392807160111.0,1808926624572.0,1806768713483.0,1183011066877.0,1313090664811.0,1170919113567.0,1459163528842.0,1130060895850.0,2096200868897.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,2061791379795.0,2105767724138.0,1932929872653.0,1665893819653.0,1635478486355.0,1704084339361.0,538683402519.0,461463767491.0,-695535362187.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,158242322000.0,155028498000.0,151809822000.0,143928048000.0,140526549000.0,137338423000.0,112084120000.0,2772465000.0,1657630000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본잉여금,1417272218345.0,1412550535722.0,1408552499519.0,1390656638144.0,1377025703411.0,1365601075514.0,380642454831.0,1323555701456.0,144210737418.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본항목,-242518066079.0,-159032605406.0,-155941870577.0,-155016022439.0,-138109241760.0,-40239346853.0,-46052082226.0,-46599610643.0,-50433357162.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-87957665168.0,-15274634487.0,-34422560982.0,-43316294676.0,-11427096072.0,-14050073123.0,-3615824155.0,-3416615489.0,17137786722.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금,816752570697.0,712495930309.0,562931982693.0,329641450624.0,267462571776.0,255434260823.0,95624734069.0,-814848172833.0,-808108159165.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,26860.0,-115121.0,-127874.0,-12414.0,8049.0,26710.0,28942.0,32194.0,69826.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,2061791406655.0,2105767609017.0,1932929744779.0,1665893807239.0,1635478494404.0,1704084366071.0,538683431461.0,461463799685.0,-695535292361.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,4454598566766.0,3914694233589.0,3739698458262.0,2848904874116.0,2948569159215.0,2875003479638.0,1997846960303.0,1591524695535.0,1400665576536.0
