"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,236211108933.0,274164894675.0,181651123827.0,123273086757.0
entity01152470_udf_BS_2018102918818433_CurrentLiabilities,기타채무,Other payables,재무상태표 [abstract],부채 [abstract],유동부채,기타채무,36303929274.0,78602420658.0,32481673936.0,38730773619.0
ifrs-full_ShorttermBorrowings,단기차입부채,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입부채,6000000000.0,35000000000.0,0.0,0.0
entity01152470_udf_BS_2022881519125_CurrentLiabilities,유동성장기차입부채,Current long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입부채,84000000000.0,0.0,84400000000.0,0.0
entity01152470_udf_BS_202181112516243_CurrentLiabilities,당기손익-공정가치측정금융부채,Financial liabilities measured at fair value through profit or loss,재무상태표 [abstract],부채 [abstract],유동부채,당기손익-공정가치측정금융부채,0.0,54869285085.0,0.0,0.0
entity01152470_udf_BS_2019111217325121_CurrentLiabilities,유동성리스부채,lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,3737215297.0,5078946255.0,5416003914.0,3937189422.0
dart_PaymentsOfIncomeTaxesPayable,미지급법인세,Payments of income taxes payable,재무상태표 [abstract],부채 [abstract],유동부채,미지급법인세,3393281329.0,12370023894.0,11303142740.0,11029715753.0
ifrs-full_CurrentProvisions,충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,60100114.0,694367572.0,0.0,0.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,102716582919.0,87549851211.0,48050303237.0,39575407963.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,287039689781.0,363438566480.0,78629476259.0,155101250836.0
dart_BondsIssued,사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,사채,146824807151.0,146715972984.0,0.0,0.0
entity01152470_udf_BS_20193211709194_NoncurrentLiabilities,기타채무,Other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,기타채무,4618306791.0,5848438781.0,4434763208.0,3250149581.0
dart_LongTermBorrowingsGross,장기차입부채,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입부채,74565000000.0,143675000000.0,20000000000.0,87890000000.0
ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,비유동리스부채,13918835898.0,13819388355.0,13221603333.0,28325244621.0
ifrs-full_NoncurrentProvisions,충당부채,Non-current provisions,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,740128483.0,408662609.0,954060931.0,591784339.0
entity01152470_udf_BS_20223101864177_NoncurrentLiabilities,확정급여채무,Defined benefit liability,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여채무,0.0,595932618.0,0.0,0.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,18971062543.0,24710820694.0,19168921287.0,11476666411.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,27401548915.0,27664350439.0,20850127500.0,23567405884.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,523250798714.0,637603461155.0,260280600086.0,278374337593.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,,699304047752.0,718996855356.0,636911041998.0,589016677252.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본금,6622250000.0,6622150000.0,6539925000.0,6511500000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,자본잉여금,215762981101.0,211315378108.0,202252806029.0,200033532039.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,이익잉여금,482536006920.0,549450817186.0,490085251348.0,389231287193.0
dart_ElementsOfOtherStockholdersEquity,기타자본,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,기타자본,-35175239122.0,-59868402673.0,-52690528457.0,-11728738855.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주지분,기타포괄손익누계액,29558048853.0,11476912735.0,-9276411922.0,4969096875.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,0.0,0.0,0.0,0.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,699304047752.0,718996855356.0,636911041998.0,589016677252.0
ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,1222554846466.0,1356600316511.0,897191642084.0,867391014845.0
