"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,556502376180.0,721734325357.0,481792565684.0,450128976715.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,159554832814.0,243870688201.0,202123560995.0,176366336406.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권및기타채권,59397252391.0,57841530789.0,52681684199.0,68923761511.0
dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,183832357477.0,72288020860.0,207760000000.0,184595600000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치측정금융자산,"Current financial assets at fair value through profit or loss, mandatorily measured at fair value",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치측정금융자산,139707877399.0,330729100913.0,3512336121.0,3895837705.0
ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,Current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],유동자산,기타포괄손익-공정가치측정금융자산,0.0,0.0,6201443374.0,6122381407.0
dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,14010056099.0,17004984594.0,9513540995.0,10225059686.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,666052470286.0,634865991154.0,415399076400.0,417262038130.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,기타채권,Other non-current receivables,재무상태표 [abstract],자산 [abstract],비유동자산,기타채권,3655782043.0,3616803454.0,5375325452.0,17247143067.0
dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,866670000.0,921060000.0,831405000.0,827320000.0
entity01152470_udf_BS_20181029175753936_NoncurrentAssets,당기손익-공정가치측정금융자산,Financial assets measured at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치측정금융자산,116707385830.0,106868694463.0,16336337429.0,7858406686.0
entity01152470_udf_BS_20191112154650441_NoncurrentAssets,기타포괄손익-공정가치측정금융자산,Financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치측정금융자산,202500000.0,202500000.0,202500000.0,202500000.0
ifrs-full_InvestmentsInAssociates,관계기업투자,Investments in associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,60422211204.0,58891173599.0,3818573790.0,832112332.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,209758163654.0,137414039369.0,96776663391.0,78120882149.0
entity01152470_udf_BS_2018102918621859_NoncurrentAssets,무형자산,Intangible Assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,231280833316.0,302370514681.0,270083191794.0,293395046728.0
ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,10613633093.0,0.0,0.0,30000000000.0
dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,2428068485.0,1301073887.0,1210799469.0,1187551484.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,30117222661.0,23280131701.0,20764280075.0,17591075684.0
ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,1222554846466.0,1356600316511.0,897191642084.0,867391014845.0
