"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,211106672431.0,171842934086.0,149349688128.0,146423716060.0
ifrs_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,5637883148.0,10194724849.0,9701645330.0,3564132678.0
entity00541349_udf_BS_201232716236453_CurrentAssets,금융기관예치금,Financial Institution balance,재무상태표 [abstract],자산 [abstract],유동자산,금융기관예치금,315000000.0,315000000.0,715000000.0,0.0
ifrs_TradeAndOtherCurrentReceivables,매출채권,Trade and other current receivables,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,123466409989.0,80707818074.0,42799356327.0,39657293520.0
entity00541349_udf_BS_201232716255562_CurrentAssets,기타수취채권,Other notes and accounts receivable,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,2120216988.0,1053372872.0,8385455548.0,19390077851.0
ifrs_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,65242661034.0,65871749071.0,73742254084.0,75925522371.0
ifrs_OtherCurrentNonfinancialAssets,기타유동자산,Other current non-financial assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,14324501272.0,13700269220.0,14005976839.0,7886689640.0
ifrs_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,259162637686.0,270237661527.0,273501966879.0,242761659135.0
entity00541349_udf_BS_2015515103549869_NoncurrentAssets,금융기관예치금,Financial Institution balance,재무상태표 [abstract],자산 [abstract],비유동자산,금융기관예치금,702100000.0,702100000.0,702100000.0,0.0
entity00541349_udf_BS_201232715591962_NoncurrentAssets,기타수취채권,Other notes and accounts receivable,재무상태표 [abstract],자산 [abstract],비유동자산,기타수취채권,1391981803.0,1966343400.0,2446252299.0,6057336535.0
entity00541349_udf_BS_2015515103639758_NoncurrentAssets,매도가능금융자산,Non-current available-for-sale financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,매도가능금융자산,630493142.0,630493142.0,230493142.0,305760032.0
ifrs_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,199864328531.0,209835826118.0,219162215015.0,196120294796.0
ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,39906696934.0,40508442245.0,38814232332.0,34743871143.0
ifrs_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,16318583867.0,15989326238.0,11313928636.0,5534396629.0
ifrs_OtherNoncurrentFinancialAssets,기타비유동자산,Other non-current financial assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,348453409.0,605130384.0,832745455.0,0.0
ifrs_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,470269310117.0,442080595613.0,422851655007.0,389185375195.0
ifrs_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채  [abstract],유동부채,,124290302673.0,72387459628.0,112489636136.0,111559887356.0
ifrs_TradeAndOtherCurrentPayables,매입채무,Trade and other current payables,재무상태표 [abstract],부채  [abstract],유동부채,매입채무,13168584780.0,12765416185.0,2237946493.0,863947756.0
ifrs_OtherCurrentFinancialLiabilities,기타지급채무,Other current financial liabilities,재무상태표 [abstract],부채  [abstract],유동부채,기타지급채무,14030915492.0,8521782033.0,8321402258.0,25843330585.0
dart_ShortTermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채  [abstract],유동부채,단기차입금,96123608211.0,49732219903.0,101822999730.0,84253322775.0
