"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00126380_udf_BS_20171018222635206_CurrentLiabilities,미지급비용,Accrued expenses,재무상태표 [abstract],부채 [abstract],유동부채,미지급비용,,29211487000000.0,27928031000000.0,24330339000000.0,19359624000000.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current income tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,,4250397000000.0,6749149000000.0,4430272000000.0,1387773000000.0
entity00126380_udf_BS_20171024141934989_CurrentLiabilities,유동성장기부채,Current portion of long-term liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기부채,,1089162000000.0,1329968000000.0,716099000000.0,846090000000.0
ifrs-full_CurrentProvisions,충당부채,Provisions,재무상태표 [abstract],부채 [abstract],유동부채,충당부채,,5844907000000.0,5372872000000.0,4349563000000.0,4068627000000.0
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,,1951354000000.0,1492239000000.0,1127719000000.0,1037030000000.0
entity00126380_udf_BS_20201022192755790_CurrentLiabilities,매각예정분류부채,Liabilities held-for-sale,재무상태표 [abstract],부채 [abstract],유동부채,매각예정분류부채,,0.0,0.0,338742000000.0,0.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,,15330051000000.0,33604094000000.0,26683351000000.0,25901312000000.0
dart_BondsIssued,사채,Debentures,재무상태표 [abstract],부채 [abstract],비유동부채,사채,,536093000000.0,508232000000.0,948137000000.0,975298000000.0
dart_LongTermBorrowingsGross,장기차입금,Long-term borrowings,재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,,3560672000000.0,2866156000000.0,1999716000000.0,2197181000000.0
dart_LongTermOtherPayablesGross,장기미지급금,Long-term other payables,재무상태표 [abstract],부채 [abstract],비유동부채,장기미지급금,,2753305000000.0,2991440000000.0,1682910000000.0,2184249000000.0
dart_PostemploymentBenefitObligations,순확정급여부채,Net defined benefit liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,,268370000000.0,465884000000.0,464458000000.0,470780000000.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred income tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,,5111332000000.0,23198205000000.0,18810845000000.0,17053808000000.0
ifrs-full_NoncurrentProvisions,장기충당부채,Long-term provisions,재무상태표 [abstract],부채 [abstract],비유동부채,장기충당부채,,1928518000000.0,2306994000000.0,1051428000000.0,611100000000.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,,1171761000000.0,1267183000000.0,1725857000000.0,2408896000000.0
ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,,93674903000000.0,121721227000000.0,102287702000000.0,89684076000000.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of the parent company,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,,,345186142000000.0,296237697000000.0,267670331000000.0,254915472000000.0
ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,,897514000000.0,897514000000.0,897514000000.0,897514000000.0
dart_IssuedCapitalOfPreferredStock,우선주자본금,Preference shares,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,우선주자본금,119467000000.0,119467000000.0,119467000000.0,119467000000.0
dart_IssuedCapitalOfCommonStock,보통주자본금,Ordinary shares,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,자본금,보통주자본금,778047000000.0,778047000000.0,778047000000.0,778047000000.0
ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,주식발행초과금,,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0
ifrs-full_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,이익잉여금(결손금),,337946407000000.0,293064763000000.0,271068211000000.0,254582894000000.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other components of equity,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,기타자본항목,,1938328000000.0,-2128473000000.0,-8687155000000.0,-4968829000000.0
entity00126380_udf_BS_20201022192911508_EquityAttributableToOwnersOfParent,매각예정분류기타자본항목,Accumulated other comprehensive income attributable to assets held-for-sale,재무상태표 [abstract],자본 [abstract],지배기업 소유주지분,매각예정분류기타자본항목,,0.0,0.0,-12132000000.0,0.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,9563462000000.0,8662234000000.0,8277685000000.0,7964949000000.0
ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,,354749604000000.0,304899931000000.0,275948016000000.0,262880421000000.0
ifrs-full_EquityAndLiabilities,부채와자본총계,Total liabilities and equity,재무상태표 [abstract],부채와자본총계,,,,448424507000000.0,426621158000000.0,378235718000000.0,352564497000000.0
