concept_id,label_ko,label_en,class1,class2,class3,Date,finance_statement,corp_code,company
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,"Non-current financial assets measured at fair value through other comprehensive income",자산,비유동자산,기타포괄손익-공정가치측정금융자산,20171231,NULL,035900,JYP
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",자산,비유동자산,유형자산,20171231,24736687226,035900,JYP
ifrs-full_NoncurrentAssets,비유동자산,"Non-current assets",자산,비유동자산,NULL,20171231,66032553737,035900,JYP
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"Trade and other current receivables",자산,유동자산,매출채권및기타채권,20171231,11052585408,035900,JYP
dart_OtherCurrentAssets,기타유동자산,"Other current assets",자산,유동자산,기타유동자산,20171231,4994949528,035900,JYP
ifrs-full_Inventories,재고자산,Inventories,자산,유동자산,재고자산,20171231,1653786151,035900,JYP
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,"Other current financial assets",자산,유동자산,기타유동금융자산,20171231,13142870445,035900,JYP
entity00258689_udf_BS_20171112102223512_CurrentAssets,당기손익-공정가치측정금융자산(유동),"Current financial assets measured at fair value through profit or loss",자산,유동자산,당기손익-공정가치측정금융자산(유동),20171231,1055111453,035900,JYP
ifrs-full_CashAndCashEquivalents,현금및현금성자산,"Cash and cash equivalents",자산,유동자산,현금및현금성자산,20171231,25360096727,035900,JYP
ifrs-full_CurrentAssets,유동자산,"Current assets",자산,유동자산,NULL,20171231,58395470412,035900,JYP
ifrs-full_Assets,자산총계,"Total assets",자산,자산총계,NULL,20171231,124428024149,035900,JYP
ifrs-full_CurrentTaxAssets,당기법인세자산,"Current tax assets",자산,유동자산,당기법인세자산,20171231,1136070700,035900,JYP
ifrs-full_CurrentLiabilities,유동부채,"Current liabilities",부채,유동부채,NULL,20171231,34823349581,035900,JYP
entity00258689_udf_BS_2020319171055507_NoncurrentAssets,당기손익-공정가치측정금융자산(비유동),"Non-current financial assets measured at fair value through profit or loss",자산,비유동자산,당기손익-공정가치측정금융자산(비유동),20171231,1055111453,035900,JYP
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,"Other current financial liabilities",부채,유동부채,기타유동금융부채,20171231,NULL,035900,JYP
ifrs-full_Equity,자본총계,"Total equity",자본,자본총계,NULL,20171231,85760413296,035900,JYP
ifrs-full_NoncontrollingInterests,비지배지분,"Non-controlling interests",자본,비지배지분,NULL,20171231,856759371,035900,JYP
ifrs-full_RetainedEarnings,이익잉여금,"Retained earnings",자본,"지배기업의 소유주지분",이익잉여금,20171231,26808549360,035900,JYP
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,"Other Comprehensive income/loss accumulated amount",자본,"지배기업의 소유주지분",기타포괄손익누계액,20171231,-211534133,035900,JYP
dart_OtherCapitalAdjustments,자본조정,"Other capital adjustments",자본,"지배기업의 소유주지분",자본조정,20171231,-14008520847,035900,JYP
dart_CapitalSurplus,자본잉여금,"Capital surplus",자본,"지배기업의 소유주지분",자본잉여금,20171231,55003699045,035900,JYP
ifrs-full_IssuedCapital,자본금,"Issued capital",자본,"지배기업의 소유주지분",자본금,20171231,17311460500,035900,JYP
ifrs-full_EquityAttributableToOwnersOfParent,"지배기업의 소유주지분","Equity attributable to owners of parent",자본,"지배기업의 소유주지분",NULL,20171231,84903653925,035900,JYP
ifrs-full_Liabilities,부채총계,"Total liabilities",부채,부채총계,NULL,20171231,38667610853,035900,JYP
ifrs-full_EquityAndLiabilities,자본과부채총계,"Total equity and liabilities",자본과부채총계,NULL,NULL,20171231,124428024149,035900,JYP
ifrs-full_DeferredTaxLiabilities,이연법인세부채,"Deferred tax liabilities",부채,비유동부채,이연법인세부채,20171231,NULL,035900,JYP
dart_ShortTermAdvancesCustomers,선수금,"Short-term advances customers",부채,유동부채,선수금,20171231,15464892562,035900,JYP
dart_OtherCurrentLiabilities,기타유동부채,"Other current liabilities",부채,유동부채,기타유동부채,20171231,1821145325,035900,JYP
ifrs-full_CurrentTaxLiabilities,당기법인세부채,"Current tax liabilities",부채,유동부채,당기법인세부채,20171231,3764275742,035900,JYP
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,"Trade and other current payables",부채,유동부채,매입채무및기타채무,20171231,13773035952,035900,JYP
ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,"Other non-current financial liabilities",부채,비유동부채,기타비유동금융부채,20171231,3844261272,035900,JYP
ifrs-full_NoncurrentProvisions,충당부채,"Non-current provisions",부채,비유동부채,충당부채,20171231,NULL,035900,JYP
dart_OtherNonCurrentLiabilities,기타비유동부채,"Other non-current liabilities",부채,비유동부채,기타비유동부채,20171231,NULL,035900,JYP
ifrs-full_NoncurrentLiabilities,비유동부채,"Non-current liabilities",부채,비유동부채,NULL,20171231,3844261272,035900,JYP
ifrs-full_Assets,자산총계,"Total assets",자산,자산총계,NULL,20181231,159341919774,035900,JYP
ifrs-full_DeferredTaxAssets,이연법인세자산,"Deferred tax assets",자산,비유동자산,이연법인세자산,20181231,504112539,035900,JYP
dart_OtherNonCurrentAssets,기타비유동자산,"Other non-current assets",자산,비유동자산,기타비유동자산,20181231,0,035900,JYP
entity00258689_udf_BS_20171112103350886_NoncurrentAssets,무형자산,"intangible asset",자산,비유동자산,무형자산,20181231,29108181182,035900,JYP
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",자산,비유동자산,유형자산,20181231,36545283667,035900,JYP
ifrs-full_InvestmentsInAssociates,관계기업투자,"Investments in associates",자산,비유동자산,관계기업투자,20181231,0,035900,JYP
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,"Other non-current financial assets",자산,비유동자산,기타비유동금융자산,20181231,6789942835,035900,JYP
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산,"Non-current financial assets measured at fair value through other comprehensive income",자산,비유동자산,기타포괄손익-공정가치측정금융자산,20181231,487287765,035900,JYP
ifrs-full_NoncurrentAssets,비유동자산,"Non-current assets",자산,비유동자산,NULL,20181231,76746225898,035900,JYP
ifrs-full_CurrentTaxAssets,당기법인세자산,"Current tax assets",자산,유동자산,당기법인세자산,20181231,1600670071,035900,JYP
dart_OtherCurrentAssets,기타유동자산,"Other current assets",자산,유동자산,기타유동자산,20181231,5193004192,035900,JYP
ifrs-full_CurrentAssets,유동자산,"Current assets",자산,유동자산,NULL,20181231,82595693876,035900,JYP
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"Trade and other current receivables",자산,유동자산,매출채권및기타채권,20181231,13383878416,035900,JYP
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,"Other current financial assets",자산,유동자산,기타유동금융자산,20181231,15978663186,035900,JYP
entity00258689_udf_BS_20171112102223512_CurrentAssets,당기손익-공정가치측정금융자산(유동),"Current financial assets measured at fair value through profit or loss",자산,유동자산,당기손익-공정가치측정금융자산(유동),20181231,0,035900,JYP
ifrs-full_CashAndCashEquivalents,현금및현금성자산,"Cash and cash equivalents",자산,유동자산,현금및현금성자산,20181231,44957699516,035900,JYP
ifrs-full_CurrentLiabilities,유동부채,"Current liabilities",부채,유동부채,NULL,20181231,30512693955,035900,JYP
