label_ko,class1,class2,class3,Date,finance_statement,corp_code,company
선수금,부채,유동부채,선수금,2020-12-31,7365481404.0,35900,JYP
선수금,부채,유동부채,선수금,2021-12-31,16931443246.0,35900,JYP
선수금,부채,유동부채,선수금,2022-12-31,25416661186.0,35900,JYP
유동부채,부채,유동부채,,2016-12-31,18538427714.0,35900,JYP
유동부채,부채,유동부채,,2017-12-31,34823349581.0,35900,JYP
유동부채,부채,유동부채,,2018-12-31,30512693955.0,35900,JYP
유동부채,부채,유동부채,,2019-12-31,43149749830.0,35900,JYP
유동부채,부채,유동부채,,2020-12-31,33334303727.0,35900,JYP
유동부채,부채,유동부채,,2021-12-31,58331683486.0,35900,JYP
유동부채,부채,유동부채,,2022-12-31,101383995470.0,35900,JYP
비지배지분,자본,비지배지분,,2016-12-31,603706423.0,35900,JYP
비지배지분,자본,비지배지분,,2017-12-31,856759371.0,35900,JYP
비지배지분,자본,비지배지분,,2018-12-31,1139858704.0,35900,JYP
비지배지분,자본,비지배지분,,2019-12-31,3448191777.0,35900,JYP
비지배지분,자본,비지배지분,,2020-12-31,3575567534.0,35900,JYP
비지배지분,자본,비지배지분,,2021-12-31,4027539705.0,35900,JYP
비지배지분,자본,비지배지분,,2022-12-31,3943150158.0,35900,JYP
자본총계,자본,자본총계,,2016-12-31,67041728388.0,35900,JYP
자본총계,자본,자본총계,,2017-12-31,85760413296.0,35900,JYP
자본총계,자본,자본총계,,2018-12-31,127968053471.0,35900,JYP
자본총계,자본,자본총계,,2019-12-31,162349944097.0,35900,JYP
자본총계,자본,자본총계,,2020-12-31,186247335473.0,35900,JYP
자본총계,자본,자본총계,,2021-12-31,250649388836.0,35900,JYP
자본총계,자본,자본총계,,2022-12-31,304501101236.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2016-12-31,82621426.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2017-12-31,-211534133.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2018-12-31,-68800504.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2019-12-31,561980151.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2020-12-31,-85323292.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2021-12-31,1347673851.0,35900,JYP
기타포괄손익누계액,자본,지배기업의 소유주지분,기타포괄손익누계액,2022-12-31,-2296310605.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2016-12-31,10632553020.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2017-12-31,26808549360.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2018-12-31,48261938685.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2019-12-31,75507992104.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2020-12-31,99912036166.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2021-12-31,162275837571.0,35900,JYP
이익잉여금,자본,지배기업의 소유주지분,이익잉여금,2022-12-31,217546377622.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2016-12-31,17021506000.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2017-12-31,17311460500.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2018-12-31,17872313500.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2019-12-31,17942201500.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2020-12-31,17943451500.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2021-12-31,17943451500.0,35900,JYP
자본금,자본,지배기업의 소유주지분,자본금,2022-12-31,17943451500.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2016-12-31,52793665846.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2017-12-31,55003699045.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2018-12-31,70535713995.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2019-12-31,76901977199.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2020-12-31,76955682199.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2021-12-31,76955682199.0,35900,JYP
자본잉여금,자본,지배기업의 소유주지분,자본잉여금,2022-12-31,76955682199.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2016-12-31,0.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2017-12-31,-14008520847.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2018-12-31,-9772970909.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2019-12-31,-12012398634.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2020-12-31,-12054078634.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2021-12-31,-11900795990.0,35900,JYP
자본조정,자본,지배기업의 소유주지분,자본조정,2022-12-31,-9591249638.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2016-12-31,66438021965.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2017-12-31,84903653925.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2018-12-31,126828194767.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2019-12-31,158901752320.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2020-12-31,182671767939.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2021-12-31,246621849131.0,35900,JYP
지배기업의 소유주지분,자본,지배기업의 소유주지분,,2022-12-31,300557951078.0,35900,JYP
자본과부채총계,자본과부채총계,,,2016-12-31,86571517594.0,35900,JYP
자본과부채총계,자본과부채총계,,,2017-12-31,124428024149.0,35900,JYP
자본과부채총계,자본과부채총계,,,2018-12-31,159341919774.0,35900,JYP
자본과부채총계,자본과부채총계,,,2019-12-31,207839679239.0,35900,JYP
자본과부채총계,자본과부채총계,,,2020-12-31,223949702666.0,35900,JYP
자본과부채총계,자본과부채총계,,,2021-12-31,317418306083.0,35900,JYP
자본과부채총계,자본과부채총계,,,2022-12-31,411122310132.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2016-12-31,887091548.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2017-12-31,275369329.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2018-12-31,0.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2019-12-31,0.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2020-12-31,1906330880.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2021-12-31,42570591708.0,35900,JYP
관계기업투자,자산,비유동자산,관계기업투자,2022-12-31,48302838434.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2016-12-31,6579083111.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2017-12-31,7763975339.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2018-12-31,6789942835.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2019-12-31,6481582576.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2020-12-31,6387766611.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2021-12-31,8808688517.0,35900,JYP
기타비유동금융자산,자산,비유동자산,기타비유동금융자산,2022-12-31,11145264155.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2016-12-31,6579083111.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2017-12-31,5107219.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2018-12-31,0.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2019-12-31,0.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2020-12-31,6679101.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2021-12-31,2140349.0,35900,JYP
기타비유동자산,자산,비유동자산,기타비유동자산,2022-12-31,3820326.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2016-12-31,0.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2017-12-31,0.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2018-12-31,487287765.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2019-12-31,3292772852.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2020-12-31,2965596800.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2021-12-31,2909699380.0,35900,JYP
기타포괄손익-공정가치측정금융자산,자산,비유동자산,기타포괄손익-공정가치측정금융자산,2022-12-31,1455231985.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2016-12-31,0.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2017-12-31,1055111453.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2018-12-31,3176495665.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2019-12-31,12364578220.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2020-12-31,11773641107.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2021-12-31,34910724585.0,35900,JYP
당기손익-공정가치측정금융자산(비유동),자산,비유동자산,당기손익-공정가치측정금융자산(비유동),2022-12-31,32552923079.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2016-12-31,30978512618.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2017-12-31,29134692496.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2018-12-31,29108181182.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2019-12-31,29043036790.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2020-12-31,30828082474.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2021-12-31,29545607468.0,35900,JYP
무형자산,자산,비유동자산,무형자산,2022-12-31,41506863178.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2016-12-31,252432965.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2017-12-31,24736687226.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2018-12-31,36545283667.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2019-12-31,38782757897.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2020-12-31,40547332973.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2021-12-31,38286277286.0,35900,JYP
유형자산,자산,비유동자산,유형자산,2022-12-31,37763727474.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2016-12-31,0.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2017-12-31,1513463860.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2018-12-31,504112539.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2019-12-31,1486134588.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2020-12-31,2581302212.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2021-12-31,1197676762.0,35900,JYP
이연법인세자산,자산,비유동자산,이연법인세자산,2022-12-31,1285820452.0,35900,JYP
비유동자산,자산,비유동자산,,2016-12-31,42610798241.0,35900,JYP
비유동자산,자산,비유동자산,,2017-12-31,66032553737.0,35900,JYP
비유동자산,자산,비유동자산,,2018-12-31,76746225898.0,35900,JYP
비유동자산,자산,비유동자산,,2019-12-31,91582136418.0,35900,JYP
비유동자산,자산,비유동자산,,2020-12-31,96996732158.0,35900,JYP
비유동자산,자산,비유동자산,,2021-12-31,158231406055.0,35900,JYP
비유동자산,자산,비유동자산,,2022-12-31,174016489083.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2016-12-31,6000000000.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2017-12-31,13142870445.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2018-12-31,15978663186.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2019-12-31,58634873976.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2020-12-31,63983800000.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2021-12-31,51878745542.0,35900,JYP
기타유동금융자산,자산,유동자산,기타유동금융자산,2022-12-31,20010696834.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2016-12-31,0.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2017-12-31,4994949528.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2018-12-31,5193004192.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2019-12-31,2795686353.0,35900,JYP
기타유동자산,자산,유동자산,기타유동자산,2020-12-31,3417179145.0,35900,JYP
