ItemID,Company,Title,Link,Description,PubDate
5015,삼성전자,""中, 7나노 양산 실화냐"…'화웨이 쇼크'에 반도체 업계 술렁",https://n.news.naver.com/mnews/article/014/0005069836?sid=101,"반도체 공정이 미세화될수록 생산 난이도가 급격히 올라가는 탓에 지금껏 7나노 이하 공정은 TSMC·삼성전자 만이 유일하게 양산에 성공했다. 전문가들은 첨단 반도체 제조에 필요한 극자외선(EUV) 노광장비 확보가... ","2023-09-09 11:47:00"
5016,삼성전자,"동아대 AI 정부연구소, 부산 서구청과 업무 협약 체결",http://www.metroseoul.co.kr/article/20230908500279,"서울대 행정학박사 학위를 받은 한 소장은 삼성전자와 한국정보문화진흥원, 한국능률협회컨설팅 등에서 활동한 뒤 2003년 동아대에 부임, 후학을 키우고 있다. 한 소장은 한국지역정보화학회장을 역임했으며 전자정부 및... ","2023-09-09 11:26:00"
5017,삼성전자,"“니가 왜 거기서 나와”...美 도발한 中에 삼성·하이닉스 긴장 [클린룸]",https://n.news.naver.com/mnews/article/081/0003391756?sid=101,"중국 관영매체 글로벌타임스는 지난 5일 “화웨이는 삼성전자나 TSMC와 다르다”며 “화웨이뿐 아니라 중국의 모든 주요 산업이 미국의 규제 효과를 이겨낼 수 있을 것”이라고 자찬을 늘어놓기도 했죠. 중국의 기습에... ","2023-09-09 11:02:00"
5018,삼성전자,""에너지·AI·로봇이 만났다"···IFA 2023 가전의 미래를 보다",http://www.todaykorea.co.kr/news/articleView.html?idxno=311310,"삼성전자가 공개한 에너지 관리 서비스 '스마트싱스 에너지'가 대표적으로, 인공지능 기술을 통해 에너지효율을 극대화한다. 유미영 삼성전자 생활가전사업부 부사장은 지난 2일(현지시간) IFA에서 생활가전... ","2023-09-09 10:58:00"
5019,삼성전자,""삼성전자, 첨단 패키징 증설로 HBM3 수주량 3배 증가"",https://www.mediapen.com/news/view/853307,"삼성전자가 첨단 패키징 증설로 HBM3 수주량을 3배 이상 확대할 것이라는 전망이 나왔다. KB증권 김동원 연구원은 8일 "삼성전자가 HBM 일괄공급(턴키)이 가능한 2.5D 첨단 패키징(아이큐브8) 생산 능력을 내년에 2배... ","2023-09-09 10:56:00"
5020,삼성전자,"[외국인·기관 쌍끌이 매도 특징주] '평단가 얼마길래' 유진로봇·삼부토건 '...",https://www.thekpm.com/news/articleView.html?idxno=172457,"업종 약세에 삼성전자, 퓨런티어, 유니트론텍, HL만도, 현대모비스, 앤씨앤, 기아, NAVER, THE MIDONG, 현대차, 커머스마이너, 에이스테크, LG전자, 유니퀘스트, 모트렉스, 에이테크솔루션, 인포뱅크, 모바일어플라이언스... ","2023-09-09 10:52:00"
5021,삼성전자,"반도체 확보 혈안 中…SK하이닉스, 화웨이 덫에 걸렸나?",https://n.news.naver.com/mnews/article/008/0004936160?sid=101,"SK하이닉스 뿐만 아니라 삼성전자나 중견·중소 반도체 업체 등 국내 업체들의 신뢰도에 악영향을 미칠 수 있다는 우려다. 특히 다음달 말까지로 정해진 미국의 대중 반도체 수출장비 규제 연장이 되지 않을 수도 있다는... ","2023-09-09 10:20:00"
5022,삼성전자,"텍사스 비트코인 채굴업체 “전기 덜 쓰니 400억원 보조금 주네요” 자랑",https://n.news.naver.com/mnews/article/081/0003391748?sid=104,"텍사스주에는 삼성전자를 비롯해 여러 한국 기업이 공장을 운영 중이어서 현지 에너지 상황에 촉각을 곤두세우고 있다. 이런 판국에 전기를 덜 써 보조금을 지급받는다고 자랑했으니 매를 벌었다고 해도 될 것 같다.","2023-09-09 10:09:00"
5023,삼성전자,"레인보우로보틱스 역사적 신고가… 하반기 증시 달구는 로봇株",https://n.news.naver.com/mnews/article/037/0000033097?sid=101,"8월 31일 삼성전자가 2대 주주인 협동로봇 전문기업 레인보우로보틱스는 삼성전자가 반도체 생산 공정에 인공지능(AI) 휴머노이드 로봇을 투입할 것이라는 소식에 상한가를 기록했다(그래프1 참조). 이날... ","2023-09-09 10:02:00"
5024,삼성전자,"디지털 대전환의 시대, 광고를 다시 정의한다 [허태윤 브랜드 스토리]",https://n.news.naver.com/mnews/article/243/0000049974?sid=110,"한국의 대표 기업인 삼성전자의 이원진 사장은 삼성전자가 디지털 시대에 기기(디바이스)의 관점에서 콘텐츠와 미디어 전략과 관련해 어떤 혁신을 추진하고 있는지 공유할 예정이다. 이상협 현대자동차(현대차)... ","2023-09-09 10:01:00"
